pr_number,owner,repo,factuality,readability,completeness,average,timestamp
,,,,,,,2025-11-08T17:23:04.527Z
75,zraees,pet-heaven-zee,5,4,4,4.34,2025-11-09T12:20:19.588Z
76,zraees,pet-heaven-zee,5,3.6,3.5,4.03,2025-11-09T12:22:08.064Z
77,zraees,pet-heaven-zee,5,4.1,4.1,4.38,2025-11-09T12:24:58.705Z
79,zraees,pet-heaven-zee,5,4,4,4.34,2025-11-13T14:22:31.967Z
80,zraees,pet-heaven-zee,5,4,4,4.34,2025-11-13T19:12:35.813Z
81,zraees,pet-heaven-zee,5,4.1,4.1,4.41,2025-11-14T08:07:04.848Z
82,zraees,pet-heaven-zee,5,4.1,4.1,4.37,2025-11-14T08:10:23.354Z
83,zraees,pet-heaven-zee,5,4.3,4.3,4.54,2025-11-22T11:04:28.185Z
85,zraees,pet-heaven-zee,5,3.8,3.8,4.22,2025-11-22T13:12:00.432Z
86,zraees,pet-heaven-zee,5,4.1,4.1,4.38,2025-11-22T13:17:12.735Z
87,zraees,pet-heaven-zee,5,4,4.1,4.37,2025-11-22T13:21:20.274Z
unknown,zraees,pet-heaven-zee,,,,,2025-11-22T13:51:44.535Z
94,zraees,pet-heaven-zee,,,,,2025-11-22T14:19:04.934Z
